id_in|uniprot_id|full_prot_name|reverse|chromosome|start_gene_coord|genom_end_coord|sequence
BRCA1|A0A0A0MSN1|true|17
CHEK1|A0A087WT52|false|11
FANCD2|F8WE37|false|3
H2AFX|P16104|true|11
NBN|A0A087X1V5|true|8
SMC1A|G8JLG1|true|X
TERF2|A0A590UJT3|false|16
TP53|A0A087WT22|true|17
TP53BP1|A6NNK5|true|15
DCLRE1C|B3KSJ7|true|10
RBBP8|A0A140TA82|false|18
IKBKG|A0A087WUW6|false|X
ATM|A0A087X0E9|false|11
TAOK3|F5GWV8|true|12
PRKDC|F5GX40|true|8
LIG4|A0A0C4DGV9|true|13
ATRIP|A0A0U1RQJ8|false|3
WRN|A0A494C0M3|false|8
TAOK1|J3QS76|false|17
BRCA2|A0A590UJ24|false|13
FANCI|F8W7R3|false|15
CDC25A|A0A024R2R6|true|3
EIF4EBP1|Q13541|false|8
BLM|A0A3B3IT82|false|15
CREB1|C9J276|false|2
BARD1|A0A087WZ19|true|2
AKT1|A0A087WY56|true|14
AKT2|A0A0A0MRF1|true|19
AKT3|F8VS91|true|1
MTOR|B1AKP8|true|1
PKN2|B1AL79|false|1
PRKCZ|D6RAN5|false|1
RPS6KB1|K7EIM2|false|17
RPS6KB2|E9PIP7|false|11
SGK3|E5RHR8|false|8
CHAF1A|K7EJF1|false|19
PRKCA|J3KN97|false|17
CTNNB1|A0A024R2Q3|false|3
EPAS1|C9J9N2|false|2
JUN|A6ND01|false|11
MCM4|A0A3B3IRR8|false|8
MLXIPL|A0A0C4DG26|true|7
PARP1|A0A024R3T8|true|1
RPA2|P15927|true|1
SP1|C9JBL0|false|2
SUB1|D6R970|false|5
XRCC1|F5H8D7|true|19
HNRNPA1|A0A2R8Y4L2|false|16
CLK3|H3BNC8|false|15
MED17|A0A1W2PNF3|false|11
CLK4|A0A087WX74|true|5
PRKCG|H7BZ60|false|19
TSC2|A0A087X0H8|true|13
FOXO3|A0A2Z4LIS9|true|17
PRKCQ|A0A087X0I9|true|10
STK4|A0A087WVN8|false|20
RELA|A0A087WVP0|true|11
PDPK1|E9PER6|false|16
RICTOR|D6R9S6|true|5
ILK|A0A087WW45|false|11
TNIK|C9J338|true|3
TSC1|A0A2R8Y419|true|9
ZFHX3|Q15911|true|16
SGK2|A0A0G2JNI2|false|20
IRS1|P35568|true|2
SMAD2|B7Z5N5|true|18
SLK|Q9H2G2|false|10
BAD|A8MXU7|true|11
NOS3|E7ESA7|false|7
CDC42BPG|Q6DT37|true|11
NLK|H0YD75|false|17
BUB1|A0A590UJ99|true|2
CCNB1|D6RHI0|false|5
CCNB2|H0YMP3|false|15
CDC20|Q12834|false|1
CDC25C|A0A3B3IT42|true|5
CDCA8|Q53HL2|false|1
CLSPN|E7ESG2|true|1
ECT2|B7ZBI6|false|6
ERCC6L|A0A590UJ07|false|9
KIF20A|D6R9E4|false|5
KIF2C|H0Y5Z9|false|1
MLF1IP|Q09GN1|true|4
NEDD1|G3V2M9|false|12
NUDC|A0A0A0MSS4|false|1
PPP1R12A|A0A0U1RQZ1|true|12
PRC1|G3V3N7|true|15
RAD21|A0A140T8W2|false|20
SGOL1|A0A024R2J4|true|3
PRKCH|A0A1W2PPU0|false|14
PCNT|H7C2A3|false|21
TPX2|Q9ULW0|false|20
RCC2|Q9P258|true|1
PLK1S1|Q2M2Z5|false|20
WEE1|E9PQ51|false|11
PLK1|I3L2H5|false|16
INCENP|E9PM67|false|11
GRB10|A0A2R8Y6Q4|true|7
MRE11A|P49959|true|11
AURKA|A3KFJ0|true|20
TRIM28|M0QZE6|false|19
MAP2K2|G5E9C7|true|19
YWHAB|A0A0J9YWE8|false|20
TGFBR1|B4DY26|false|9
RAF1|A0A0B4J1W9|true|3
STK10|H0YB71|true|5
ARAF|P10398|false|X
PDCD10|C9J363|true|3
PAK6|H0YK38|false|15
PAK7|Q9P286|true|20
MINK1|A0A590UJE1|false|17
HSP90AA1|A0A0U1RR69|true|14
PAK2|H7C1X3|false|3
BCKDK|H3BNP3|false|16
ICK|Q9UPZ9|true|6
ENG|F5GX88|true|9
MAPK1|A0A1C7CYZ1|false|8
PAK4|M0R0L9|false|19
GRIN2B|A0A0D9SFK0|true|12
CAMK2D|D6R938|true|4
MAPK8|A0A087WYG2|false|16
CAMK2B|E7EQE4|true|7
FOXO1|Q12778|true|13
YWHAZ|B0AZS6|true|8
PEBP1|P30086|false|12
MAPK8IP1|E9PBB9|false|11
MAPK13|O15264|false|6
MAPK14|B4E0K5|false|6
EPHA5|B7ZKJ3|true|4
EPHA7|Q15375|true|6
EPHB1|A0A3B3IRY8|false|3
EPHB4|P54760|true|7
EPHB6|A0A087WTE3|false|7
EPHA3|C9JXA2|false|3
EPHA1|F5GWI2|true|1
EPHA8|P29322|false|1
CHD4|A0A0C4DGG9|true|12
DVL3|A0A3B3ISG4|false|3
HDAC1|B5MC52|false|3
HDAC2|E5RFI6|true|6
MYC|A0A087WUS5|false|8
NCL|A0A0C4DGP7|false|19
PACS1|B4DF77|false|11
PRPF3|A0A0A0MRN0|false|1
SIN3A|H3BMA2|true|15
STX4|A0A087WWW0|false|16
VAMP4|O75379|true|1
KIF23|A0A2R8Y531|false|15
SPIB|M0QXA8|false|19
CSNK1G1|A0A0U1RQG9|true|15
SSRP1|A0A0U1RRK2|true|11
GORASP1|A0A024R2U5|true|3
GJA1|A0A1W2PS75|false|6
ARHGEF7|A0A2R8YG42|false|13
STK24|B4DR80|true|13
MAPK3|B3KR49|true|16
ZHX2|H0YKA3|false|8
GRIN2A|A0A1B0GU35|true|16
EIF2S2|P20042|true|20
AXIN1|H0Y830|true|16
CDC6|J3KTI7|false|17
CDT1|H3BSY1|false|16
FZR1|K7EQT1|false|19
PKMYT1|A6NHV6|true|16
ESR1|A0A1W2PP92|false|6
STK11|A0A087WT72|false|19
POLA1|A0A087WU64|false|X
ESPL1|H3BM31|false|12
GSK3A|A8MT37|true|19
CSNK1E|B0QY34|true|22
CDK6|Q00534|true|7
GOLPH3|D6REM1|true|5
SRC|A0A087WTE6|true|17
NCK1|C9J0K5|false|3
YES1|J3QRU1|true|18
MAP2K1|H3BRW9|false|15
PRKCI|P41743|false|3
CDC25B|B4DIG0|false|20
CCNE2|E5RHN2|true|8
CDC7|A0A1B0GUB2|false|1
CDKN1C|A0A0G2JH30|true|11
CEBPB|P17676|false|20
COIL|I3L369|true|17
E2F1|Q01094|true|20
E2F5|C9JYE9|false|8
EP300|A0A0U1RQG3|false|22
MCM10|C9J600|false|10
MNAT1|H0YJ92|false|14
MYBL2|P10244|false|20
NPM1|E5RGW4|false|5
ORC2L|A0A024R411|true|2
ORC6L|Q9Y5N6|false|16
RB1|A0A2R8Y743|false|13
RBL1|E9PNB6|true|20
RBL2|F5H837|false|16
SMAD3|H0YKE2|false|15
MAP2K7|O14733|false|19
MKI67|P46013|true|10
CSN1S1|A0A0J9YVR3|false|4
CTDP1|A0A0A0MR03|false|18
LIG1|B4E135|true|19
BRAF|A0A2R8Y467|true|7
PRKAR2A|C9J830|true|3
GRK5|P34947|false|10
RHO|A0A024R3Q7|false|CHR_HG2002_PATCH
GRK1|A0A0J9YXB6|false|13
ADRBK2|P35626|false|22
PRKD2|M0QXC6|true|19
DBF4|B4DXK0|false|7
CDC23|D6RBY8|true|5
APPL1|C9JAB0|false|3
PRKD3|C9JKP8|true|2
ELK1|P19419|true|X
MKNK2|K7EIN7|true|19
PXN|A0A1B0GTU4|true|12
SOS1|C9K0N6|true|2
GTF2A1L|C9J2C1|false|2
NAP1L4|A8MXH2|true|11
XRCC4|Q13426|false|5
MCM2|C9J013|false|3
FLG|P11362|true|8
MAP2K6|A0A0A0MRF7|false|17
GGA1|B0QYR5|false|22
EZH2|E9PDH6|true|7
HSPB1|A6NG08|true|1
CCNB3|Q8WWL7|false|X
LMNB1|A0A0D9SFE5|false|5
NOLC1|A0A0A0MRM9|false|10
DAPK2|H0YKW8|true|15
HSP90B1|A0A1W2PRR1|false|12
UBTF|E9PKP7|true|17
PPP1R1B|J3KSJ8|false|17
CDC16|A0A3B3ISD2|false|13
SUPT16H|G3V2X0|true|14
CINP|H0YKY0|true|14
SKP2|A0A0A0MTL5|false|5
PLK4|H0YAL6|false|4
PDGFRA|D6RDX0|false|4
SGOL2|Q562F6|false|2
SPP1|A0A024RDE2|false|4
XRCC6|B1AHC9|false|22
CEP135|Q66GS9|false|4
NEK2|F6U4U2|true|1
BCR|H0Y554|false|22
PTTG1|A8MXQ1|true|21
CCNE1|C9J2U0|false|19
PLD2|I3L1F3|false|17
